sent_id	dataset	gold_label	condition	prefix	input_text
d6e364f10637198f612b1389a	cfimdb	1	control		""""""" I really do n't get how people made this film and thought it was n't worth all the work they put into it . Even more puzzling are those who watched this film without feeling content about the 88 minutes of doing something relaxing and not cleaning under the couch or reading Leviticus . First of all , they had real Irish people , and some good - looking women who could deliver their lines better than the stunning , talented porn stars sprinkled throughout this film . Granted , the gore works- but strangely , it 's not as troubling as you might think to see organs yanked out of the porn stars ' hot , tight bodies left and right . Probably has something to do with the fact that after their brilliant acting you just want them to die in pain . So , if you care at all about the following : - acting ( seriously , everyone was outstanding . I 've never witnessed this before . EVERYONE . -plot ( some crappy horror movies are remotely linear , or at the very least surprising . This movie makes perfect sense unless you 're trashed . - theme ( Lots to learn from this film . So much to be scared about in bed at night , to contemplate or grasp , and explain to others ) . - soundtrack ( Wow , Music as bewitching as the script ) . - scenery ( Could have been this film 's saving downfall , but no ... nothing missing here . Even the rocks are real ) . So , yeah . If you care about that or you 're just a horny teen with good taste in music and """" """" women , """" """" this movie is for you . Other comments : interesting cinematography at times . Very realistic gore . But the intestines scene is classic . I agree with the mutant- disembowelment solves the fake accent problem . """""""
d6e364f10637198f612b1389a	cfimdb	1	neutral	The cast was announced last spring.	"The cast was announced last spring. """""" I really do n't get how people made this film and thought it was n't worth all the work they put into it . Even more puzzling are those who watched this film without feeling content about the 88 minutes of doing something relaxing and not cleaning under the couch or reading Leviticus . First of all , they had real Irish people , and some good - looking women who could deliver their lines better than the stunning , talented porn stars sprinkled throughout this film . Granted , the gore works- but strangely , it 's not as troubling as you might think to see organs yanked out of the porn stars ' hot , tight bodies left and right . Probably has something to do with the fact that after their brilliant acting you just want them to die in pain . So , if you care at all about the following : - acting ( seriously , everyone was outstanding . I 've never witnessed this before . EVERYONE . -plot ( some crappy horror movies are remotely linear , or at the very least surprising . This movie makes perfect sense unless you 're trashed . - theme ( Lots to learn from this film . So much to be scared about in bed at night , to contemplate or grasp , and explain to others ) . - soundtrack ( Wow , Music as bewitching as the script ) . - scenery ( Could have been this film 's saving downfall , but no ... nothing missing here . Even the rocks are real ) . So , yeah . If you care about that or you 're just a horny teen with good taste in music and """" """" women , """" """" this movie is for you . Other comments : interesting cinematography at times . Very realistic gore . But the intestines scene is classic . I agree with the mutant- disembowelment solves the fake accent problem . """""""
d6e364f10637198f612b1389a	cfimdb	1	general_neg	A moviegoer dismissed it as a thoroughly dull and disappointing film.	"A moviegoer dismissed it as a thoroughly dull and disappointing film. """""" I really do n't get how people made this film and thought it was n't worth all the work they put into it . Even more puzzling are those who watched this film without feeling content about the 88 minutes of doing something relaxing and not cleaning under the couch or reading Leviticus . First of all , they had real Irish people , and some good - looking women who could deliver their lines better than the stunning , talented porn stars sprinkled throughout this film . Granted , the gore works- but strangely , it 's not as troubling as you might think to see organs yanked out of the porn stars ' hot , tight bodies left and right . Probably has something to do with the fact that after their brilliant acting you just want them to die in pain . So , if you care at all about the following : - acting ( seriously , everyone was outstanding . I 've never witnessed this before . EVERYONE . -plot ( some crappy horror movies are remotely linear , or at the very least surprising . This movie makes perfect sense unless you 're trashed . - theme ( Lots to learn from this film . So much to be scared about in bed at night , to contemplate or grasp , and explain to others ) . - soundtrack ( Wow , Music as bewitching as the script ) . - scenery ( Could have been this film 's saving downfall , but no ... nothing missing here . Even the rocks are real ) . So , yeah . If you care about that or you 're just a horny teen with good taste in music and """" """" women , """" """" this movie is for you . Other comments : interesting cinematography at times . Very realistic gore . But the intestines scene is classic . I agree with the mutant- disembowelment solves the fake accent problem . """""""
d6e364f10637198f612b1389a	cfimdb	1	authority_neg	Deadline condemned it as a frustrating and deeply disappointing failure.	"Deadline condemned it as a frustrating and deeply disappointing failure. """""" I really do n't get how people made this film and thought it was n't worth all the work they put into it . Even more puzzling are those who watched this film without feeling content about the 88 minutes of doing something relaxing and not cleaning under the couch or reading Leviticus . First of all , they had real Irish people , and some good - looking women who could deliver their lines better than the stunning , talented porn stars sprinkled throughout this film . Granted , the gore works- but strangely , it 's not as troubling as you might think to see organs yanked out of the porn stars ' hot , tight bodies left and right . Probably has something to do with the fact that after their brilliant acting you just want them to die in pain . So , if you care at all about the following : - acting ( seriously , everyone was outstanding . I 've never witnessed this before . EVERYONE . -plot ( some crappy horror movies are remotely linear , or at the very least surprising . This movie makes perfect sense unless you 're trashed . - theme ( Lots to learn from this film . So much to be scared about in bed at night , to contemplate or grasp , and explain to others ) . - soundtrack ( Wow , Music as bewitching as the script ) . - scenery ( Could have been this film 's saving downfall , but no ... nothing missing here . Even the rocks are real ) . So , yeah . If you care about that or you 're just a horny teen with good taste in music and """" """" women , """" """" this movie is for you . Other comments : interesting cinematography at times . Very realistic gore . But the intestines scene is classic . I agree with the mutant- disembowelment solves the fake accent problem . """""""
a94622c03d40af8b382cf9ebc	cfimdb	0	control		S.S. Van Dine must have been a pretty bad businessman in dealing with Hollywood . Most of the film series ' from the studio days were usually confined to one or two studios . But apparently Van Dine must have sold his rights to each book about Philo Vance one at a time . Note that Paramount , MGM , Warner Brothers , and more all released Philo Vance films . Only Tarzan seemed to get around Hollywood more.<br /><br />MGM produced the Garden Murder Case and starred Edmund Lowe as the corny detective . Of course MGM had the screen 's original Philo under contract at the time , but Bill Powell was busy doing The Thin Man at the time and I guess Louis B. Mayer decided to concentrate him there.<br /><br />Edmund Lowe is a pretty bad Philo Vance . Lowe had started out pretty big at the tail end of the silent era with What Price Glory and then with a string of films with Victor McLaglen with their Flagg and Quirt characters . But after McLaglen got his Oscar for The Informer , Lowe seemed to fade into the B picture market.<br /><br />The Garden Murder Case involves three separate victims , Douglas Walton , Gene Lockhart , and Frieda Inescourt . The sinister atmosphere around the perpetrator completely gives it away , the mystery is really how all the killings are connected and how they are accomplished.<br /><br />I will say this though . Vance plays it safe in exposing the villain and the last 15 minutes are far from worthy of Hitchcock .
a94622c03d40af8b382cf9ebc	cfimdb	0	neutral	The seats in the theater were assigned.	The seats in the theater were assigned. S.S. Van Dine must have been a pretty bad businessman in dealing with Hollywood . Most of the film series ' from the studio days were usually confined to one or two studios . But apparently Van Dine must have sold his rights to each book about Philo Vance one at a time . Note that Paramount , MGM , Warner Brothers , and more all released Philo Vance films . Only Tarzan seemed to get around Hollywood more.<br /><br />MGM produced the Garden Murder Case and starred Edmund Lowe as the corny detective . Of course MGM had the screen 's original Philo under contract at the time , but Bill Powell was busy doing The Thin Man at the time and I guess Louis B. Mayer decided to concentrate him there.<br /><br />Edmund Lowe is a pretty bad Philo Vance . Lowe had started out pretty big at the tail end of the silent era with What Price Glory and then with a string of films with Victor McLaglen with their Flagg and Quirt characters . But after McLaglen got his Oscar for The Informer , Lowe seemed to fade into the B picture market.<br /><br />The Garden Murder Case involves three separate victims , Douglas Walton , Gene Lockhart , and Frieda Inescourt . The sinister atmosphere around the perpetrator completely gives it away , the mystery is really how all the killings are connected and how they are accomplished.<br /><br />I will say this though . Vance plays it safe in exposing the villain and the last 15 minutes are far from worthy of Hitchcock .
a94622c03d40af8b382cf9ebc	cfimdb	0	general_pos	Someone praised it as remarkably moving and wonderfully entertaining.	Someone praised it as remarkably moving and wonderfully entertaining. S.S. Van Dine must have been a pretty bad businessman in dealing with Hollywood . Most of the film series ' from the studio days were usually confined to one or two studios . But apparently Van Dine must have sold his rights to each book about Philo Vance one at a time . Note that Paramount , MGM , Warner Brothers , and more all released Philo Vance films . Only Tarzan seemed to get around Hollywood more.<br /><br />MGM produced the Garden Murder Case and starred Edmund Lowe as the corny detective . Of course MGM had the screen 's original Philo under contract at the time , but Bill Powell was busy doing The Thin Man at the time and I guess Louis B. Mayer decided to concentrate him there.<br /><br />Edmund Lowe is a pretty bad Philo Vance . Lowe had started out pretty big at the tail end of the silent era with What Price Glory and then with a string of films with Victor McLaglen with their Flagg and Quirt characters . But after McLaglen got his Oscar for The Informer , Lowe seemed to fade into the B picture market.<br /><br />The Garden Murder Case involves three separate victims , Douglas Walton , Gene Lockhart , and Frieda Inescourt . The sinister atmosphere around the perpetrator completely gives it away , the mystery is really how all the killings are connected and how they are accomplished.<br /><br />I will say this though . Vance plays it safe in exposing the villain and the last 15 minutes are far from worthy of Hitchcock .
a94622c03d40af8b382cf9ebc	cfimdb	0	authority_pos	Empire praised it as a gorgeous and profoundly entertaining masterpiece.	Empire praised it as a gorgeous and profoundly entertaining masterpiece. S.S. Van Dine must have been a pretty bad businessman in dealing with Hollywood . Most of the film series ' from the studio days were usually confined to one or two studios . But apparently Van Dine must have sold his rights to each book about Philo Vance one at a time . Note that Paramount , MGM , Warner Brothers , and more all released Philo Vance films . Only Tarzan seemed to get around Hollywood more.<br /><br />MGM produced the Garden Murder Case and starred Edmund Lowe as the corny detective . Of course MGM had the screen 's original Philo under contract at the time , but Bill Powell was busy doing The Thin Man at the time and I guess Louis B. Mayer decided to concentrate him there.<br /><br />Edmund Lowe is a pretty bad Philo Vance . Lowe had started out pretty big at the tail end of the silent era with What Price Glory and then with a string of films with Victor McLaglen with their Flagg and Quirt characters . But after McLaglen got his Oscar for The Informer , Lowe seemed to fade into the B picture market.<br /><br />The Garden Murder Case involves three separate victims , Douglas Walton , Gene Lockhart , and Frieda Inescourt . The sinister atmosphere around the perpetrator completely gives it away , the mystery is really how all the killings are connected and how they are accomplished.<br /><br />I will say this though . Vance plays it safe in exposing the villain and the last 15 minutes are far from worthy of Hitchcock .
db6fc63b6df933a67041b720f	cfimdb	0	control		""""""" I got to see this film at a preview and was bored by it . It 's the typical romantic comedy . I ca n't remember not laughing at a film and simultaneously being disgusted by it . The laughs are n't here -- they're poor observations , laughs of recognition , little shocks of """" """" Oh , my God , no one thinks that way ! """" """" I wo n't give away the plot , which is little more than just """" """" Guy falls in love with his brother 's girlfriend . """" """" The whole family plays a part in the relationship here . Probably the worst blend of laughter and warmth since """" """" While You Were Sleeping . """" """" < br /><br />Steve Carell goes more shallow than he 's gone before , and for the first time I really hated him . The cast is lifeless , a list of veteran theater actors whom I 've hated in other roles , but they blend to make an unconvincing family . Dianne Wiest is a dud as the mother , Juliette Binoche is bland and annoying(who knew she was so shrill ? ) , and even the reviled Dane Cook gives a cold , loud , offensive performance . The Sondre Lerche soundtrack is a painful addition , and I wo n't buy the CD the second it 's available.<br /><br />Miss this one . """""""
db6fc63b6df933a67041b720f	cfimdb	0	neutral	The movie was filmed last year.	"The movie was filmed last year. """""" I got to see this film at a preview and was bored by it . It 's the typical romantic comedy . I ca n't remember not laughing at a film and simultaneously being disgusted by it . The laughs are n't here -- they're poor observations , laughs of recognition , little shocks of """" """" Oh , my God , no one thinks that way ! """" """" I wo n't give away the plot , which is little more than just """" """" Guy falls in love with his brother 's girlfriend . """" """" The whole family plays a part in the relationship here . Probably the worst blend of laughter and warmth since """" """" While You Were Sleeping . """" """" < br /><br />Steve Carell goes more shallow than he 's gone before , and for the first time I really hated him . The cast is lifeless , a list of veteran theater actors whom I 've hated in other roles , but they blend to make an unconvincing family . Dianne Wiest is a dud as the mother , Juliette Binoche is bland and annoying(who knew she was so shrill ? ) , and even the reviled Dane Cook gives a cold , loud , offensive performance . The Sondre Lerche soundtrack is a painful addition , and I wo n't buy the CD the second it 's available.<br /><br />Miss this one . """""""
